Customer_ID,Customer_Name,Gender,Age,City,Segment,Plan_Type,Call_Minutes,SMS_Count,Data_Usage_GB,Monthly_Charge,Revenue,Cost,Profit,ARPU,Usage_Pattern,Profitability_Score,Rule_Date
CUST0001,Neha Joshi,Male,30,Kolkata,Business,Postpaid,530.0,72,2.11,399,15619.89,14934.9,684.9899999999998,1115.71,High,30,2025-10-01
CUST0002,Rajesh Reddy,Male,48,Hyderabad,Retail,Postpaid,282.1,72,1.88,1099,19417.47,16776.1,2641.3700000000026,970.87,Low,10,2025-10-01
CUST0003,Anjali Pillai,Male,50,Chennai,Retail,Prepaid,551.7,47,7.59,1299,18926.95,17742.94,1184.010000000002,946.35,High,25,2025-10-01
CUST0004,Priya Sharma,Female,26,Kolkata,Business,Prepaid,511.7,101,1.68,899,10794.49,9100.58,1693.9099999999999,1079.45,High,30,2025-10-01
CUST0005,Rajesh Joshi,Male,36,Chennai,Retail,Prepaid,543.5,43,16.85,1599,3802.12,2769.91,1032.21,253.47,High,45,2025-10-01
CUST0006,Meena Joshi,Female,27,Pune,Retail,Postpaid,373.4,41,16.12,699,9637.34,7928.46,1708.88,602.33,High,20,2025-10-01
CUST0007,Rajesh Kumar,Female,59,Kolkata,Premium,Postpaid,52.1,220,17.68,699,3790.83,-1869.72,5660.55,199.52,High,40,2025-10-01
CUST0008,Sneha Reddy,Female,49,Chennai,Premium,Prepaid,531.3,181,1.21,299,3250.12,2429.22,820.9000000000001,162.51,High,25,2025-10-01
CUST0009,Neha Joshi,Male,50,Pune,Retail,Prepaid,582.7,119,12.28,299,14021.09,12880.45,1140.6399999999994,824.77,High,35,2025-10-01
CUST0010,Arjun Rao,Male,44,Kochi,Premium,Postpaid,566.3,174,12.31,699,16915.74,13079.63,3836.1100000000024,1409.65,High,70,2025-10-01
CUST0011,Sneha Rao,Female,56,Delhi,Retail,Prepaid,374.6,228,11.91,1099,15119.12,13851.78,1267.3400000000001,1511.91,Medium,45,2025-10-01
CUST0012,Rajesh Sharma,Female,59,Pune,Business,Prepaid,621.6,113,22.01,299,6286.17,4404.73,1881.4400000000005,369.77,High,35,2025-10-01
CUST0013,Deepak Sharma,Female,42,Chennai,Business,Prepaid,568.6,151,17.6,1299,8667.65,6733.26,1934.3899999999994,722.3,High,45,2025-10-01
CUST0014,Sneha Sharma,Female,46,Delhi,Premium,Postpaid,218.6,134,25.45,299,4676.84,3998.78,678.06,259.82,High,30,2025-10-01
CUST0015,Rajesh Sharma,Female,59,Chennai,Retail,Postpaid,657.3,208,8.14,1099,9425.12,7586.49,1838.630000000001,471.26,High,25,2025-10-01
CUST0016,Rahul Patel,Male,41,Mumbai,Retail,Postpaid,176.2,89,1.42,1599,17018.34,12504.97,4513.370000000001,945.46,Low,20,2025-10-01
CUST0017,Deepak Iyer,Female,46,Jaipur,Retail,Prepaid,554.0,206,23.61,1599,3049.46,-244.22,3293.68,160.5,High,55,2025-10-01
CUST0018,Karthik Pillai,Female,58,Bangalore,Premium,Postpaid,436.6,290,8.75,499,12582.87,10420.48,2162.3900000000012,1143.9,High,40,2025-10-01
CUST0019,Rahul Pillai,Female,45,Chennai,Retail,Postpaid,363.9,122,9.17,399,9985.35,4777.71,5207.64,624.08,Medium,10,2025-10-01
CUST0020,Sneha Rao,Male,50,Chennai,Premium,Postpaid,586.8,253,11.18,899,6229.37,3632.3,2597.0699999999997,622.94,High,45,2025-10-01
CUST0021,Arjun Reddy,Female,37,Kolkata,Retail,Prepaid,640.7,40,11.37,1299,17760.15,15615.86,2144.290000000001,1110.01,High,60,2025-10-01
CUST0022,Sneha Pillai,Male,57,Lucknow,Retail,Postpaid,200.8,105,10.13,399,16921.75,14416.62,2505.129999999999,1692.17,Medium,35,2025-10-01
CUST0023,Priya Reddy,Female,52,Bangalore,Retail,Postpaid,533.5,297,14.87,399,3495.76,-590.92,4086.6800000000003,174.79,High,45,2025-10-01
CUST0024,Arjun Joshi,Male,40,Jaipur,Premium,Postpaid,129.5,191,27.56,399,18330.79,17110.08,1220.7099999999991,1410.06,High,45,2025-10-01
CUST0025,Deepak Joshi,Male,33,Kolkata,Business,Postpaid,227.2,143,8.76,899,16226.62,12717.67,3508.9500000000007,901.48,Medium,10,2025-10-01
CUST0026,Priya Joshi,Female,24,Chennai,Premium,Prepaid,666.0,155,25.94,1299,6866.7,2409.7,4457.0,572.23,High,65,2025-10-01
CUST0027,Sneha Iyer,Female,25,Pune,Premium,Prepaid,288.2,188,7.97,1599,5439.04,2565.88,2873.16,362.6,Medium,20,2025-10-01
CUST0028,Sneha Kumar,Male,45,Bangalore,Retail,Postpaid,688.0,161,24.55,299,18367.16,12934.7,5432.459999999999,1412.86,High,60,2025-10-01
CUST0029,Rajesh Sharma,Male,20,Pune,Business,Prepaid,239.9,299,16.53,399,8304.05,4112.96,4191.089999999999,437.06,High,30,2025-10-01
CUST0030,Meena Joshi,Female,49,Delhi,Premium,Prepaid,696.8,72,17.64,1299,7599.85,3592.94,4006.9100000000003,542.85,High,65,2025-10-01
CUST0031,Arjun Reddy,Male,39,Kochi,Business,Prepaid,538.8,94,4.12,1599,18362.0,15685.92,2676.08,1669.27,High,40,2025-10-01
CUST0032,Anjali Patel,Male,49,Pune,Business,Prepaid,645.1,69,18.36,399,6683.06,5142.09,1540.9700000000003,607.55,High,35,2025-10-01
CUST0033,Arjun Kumar,Male,47,Bangalore,Retail,Postpaid,413.8,19,21.81,299,19382.66,13559.52,5823.139999999999,1762.06,High,60,2025-10-01
CUST0034,Sneha Pillai,Male,48,Hyderabad,Retail,Postpaid,634.2,22,28.23,1299,16280.55,10677.69,5602.859999999999,1356.71,High,70,2025-10-01
CUST0035,Rahul Verma,Female,24,Hyderabad,Retail,Postpaid,607.3,66,18.61,1599,11789.11,9468.0,2321.1100000000006,1071.74,High,60,2025-10-01
CUST0036,Deepak Patel,Male,40,Delhi,Retail,Prepaid,79.1,77,26.49,1299,13801.48,9830.13,3971.3500000000004,1380.15,High,55,2025-10-01
CUST0037,Anjali Reddy,Female,28,Kochi,Premium,Postpaid,449.6,167,20.88,399,13560.43,11604.2,1956.2299999999996,904.03,High,45,2025-10-01
CUST0038,Priya Mehta,Female,31,Pune,Retail,Prepaid,521.8,33,13.57,399,11613.88,8814.97,2798.91,1055.81,High,50,2025-10-01
CUST0039,Neha Mehta,Male,29,Kochi,Retail,Postpaid,276.2,227,3.37,899,14676.52,11861.66,2814.8600000000006,917.28,Low,0,2025-10-01
CUST0040,Priya Rao,Female,60,Bangalore,Business,Prepaid,464.4,191,3.65,299,10046.96,7051.54,2995.419999999999,669.8,High,15,2025-10-01
CUST0041,Rahul Joshi,Male,25,Mumbai,Premium,Prepaid,90.9,156,18.17,299,6557.11,3027.49,3529.62,437.14,High,40,2025-10-01
CUST0042,Rajesh Sharma,Female,48,Delhi,Retail,Prepaid,275.3,154,18.02,399,9851.69,7018.12,2833.5700000000006,757.82,High,20,2025-10-01
CUST0043,Deepak Mehta,Male,25,Chennai,Business,Prepaid,162.0,296,27.34,899,15020.74,10283.33,4737.41,790.57,High,30,2025-10-01
CUST0044,Rajesh Verma,Male,48,Jaipur,Retail,Prepaid,149.2,12,6.91,399,3104.69,1561.46,1543.23,163.4,Medium,0,2025-10-01
CUST0045,Arjun Rao,Male,53,Chennai,Business,Postpaid,122.4,219,28.36,1299,12429.2,6553.26,5875.9400000000005,690.51,High,40,2025-10-01
CUST0046,Anjali Mehta,Female,51,Kolkata,Business,Prepaid,554.6,98,27.15,499,10232.2,6951.75,3280.4500000000007,511.61,High,45,2025-10-01
CUST0047,Priya Reddy,Female,48,Mumbai,Retail,Postpaid,465.3,24,9.17,899,19878.7,18644.01,1234.6900000000023,1169.34,High,30,2025-10-01
CUST0048,Arjun Mehta,Male,40,Kochi,Business,Prepaid,170.7,24,19.52,1299,15745.59,10126.31,5619.280000000001,926.21,High,40,2025-10-01
CUST0049,Rahul Reddy,Female,41,Pune,Retail,Prepaid,655.5,123,22.55,1099,16788.47,13345.08,3443.3900000000012,1399.04,High,70,2025-10-01
CUST0050,Karthik Patel,Male,26,Kochi,Premium,Prepaid,468.7,277,9.64,1299,18399.3,15822.45,2576.8499999999985,968.38,High,35,2025-10-01
CUST0051,Arjun Rao,Female,47,Kochi,Premium,Postpaid,571.2,125,15.19,899,8364.66,7196.71,1167.9499999999998,418.23,High,45,2025-10-01
CUST0052,Karthik Pillai,Male,36,Hyderabad,Business,Prepaid,151.1,185,7.73,699,12667.53,9754.44,2913.09,1151.59,Medium,15,2025-10-01
CUST0053,Anjali Kumar,Female,22,Hyderabad,Retail,Prepaid,233.0,225,21.34,1599,8092.3,3430.51,4661.79,578.02,High,40,2025-10-01
CUST0054,Arjun Rao,Female,42,Kolkata,Premium,Prepaid,497.1,137,24.02,1299,6365.28,5296.63,1068.6499999999996,530.44,High,55,2025-10-01
CUST0055,Priya Sharma,Female,20,Mumbai,Business,Prepaid,543.7,76,7.34,1599,12554.72,11084.85,1469.869999999999,627.74,High,25,2025-10-01
